         1.00    .1902E-07   .1200E-03       .0001   .8999E+02
         1.50    .4594E-07   .1801E-03       .0002   .8999E+02
         2.20    .1044E-06   .2641E-03       .0003   .8998E+02
         3.00    .2077E-06   .3601E-03       .0004   .8997E+02
         6.00    .8671E-06   .7203E-03       .0007   .8993E+02
         7.00    .1166E-05   .8403E-03       .0008   .8992E+02
        10.00    .2368E-05   .1200E-02       .0012   .8989E+02
        15.00    .5500E-05   .1801E-02       .0018   .8982E+02
        22.00    .1223E-04   .2641E-02       .0026   .8973E+02
        30.00    .2283E-04   .3601E-02       .0036   .8964E+02
        45.00    .5140E-04   .5400E-02       .0054   .8945E+02
        70.00    .1227E-03   .8396E-02       .0084   .8916E+02
       100.00    .2484E-03   .1199E-01       .0120   .8881E+02
       150.00    .5514E-03   .1795E-01       .0180   .8824E+02
       220.00    .1157E-02   .2624E-01       .0263   .8747E+02
       300.00    .2092E-02   .3564E-01       .0357   .8664E+02
       450.00    .4471E-02   .5296E-01       .0531   .8517E+02
       700.00    .9960E-02   .8089E-01       .0815   .8298E+02
      1000.00    .1857E-01   .1128E+00       .1143   .8065E+02
      1500.00    .3656E-01   .1622E+00       .1663   .7730E+02
      2200.00    .6704E-01   .2240E+00       .2338   .7334E+02
      3000.00    .1068E+00   .2854E+00       .3047   .6949E+02
      4500.00    .1891E+00   .3783E+00       .4229   .6344E+02
      7000.00    .3340E+00   .4826E+00       .5869   .5531E+02
     10000.00    .5032E+00   .5465E+00       .7429   .4736E+02
