         1.00    .1000E+01   .9551E-04      1.0000   .5472E-02
         1.50    .1000E+01   .1433E-03      1.0000   .8208E-02
         2.20    .1000E+01   .2101E-03      1.0000   .1204E-01
         3.00    .1000E+01   .2865E-03      1.0000   .1641E-01
         6.00    .1000E+01   .5728E-03      1.0000   .3282E-01
         7.00    .1000E+01   .6682E-03      1.0000   .3828E-01
        10.00    .1000E+01   .9542E-03      1.0000   .5467E-01
        15.00    .1000E+01   .1430E-02      1.0000   .8194E-01
        22.00    .1000E+01   .2095E-02      1.0001   .1200E+00
        30.00    .1000E+01   .2852E-02      1.0001   .1634E+00
        45.00    .1000E+01   .4263E-02      1.0002   .2442E+00
        70.00    .1000E+01   .6585E-02      1.0005   .3771E+00
       100.00    .1001E+01   .9317E-02      1.0009   .5333E+00
       150.00    .1002E+01   .1372E-01      1.0019   .7849E+00
       220.00    .1004E+01   .1958E-01      1.0038   .1118E+01
       300.00    .1006E+01   .2582E-01      1.0064   .1470E+01
       450.00    .1012E+01   .3628E-01      1.0123   .2054E+01
       700.00    .1023E+01   .5055E-01      1.0240   .2830E+01
      1000.00    .1037E+01   .6334E-01      1.0394   .3494E+01
      1500.00    .1063E+01   .7667E-01      1.0659   .4125E+01
      2200.00    .1098E+01   .8336E-01      1.1014   .4341E+01
      3000.00    .1135E+01   .7949E-01      1.1379   .4006E+01
      4500.00    .1193E+01   .5170E-01      1.1943   .2481E+01
      7000.00    .1259E+01  -.2632E-01      1.2597  -.1197E+01
     10000.00    .1296E+01  -.1407E+00      1.3037  -.6194E+01
